sentence,entity1,entity1_label,entity2,entity2_label,relation
John Smith is a software engineer at Google.,John Smith,PERSON,Google,ORG,
He graduated from Stanford University in 2015.,Stanford University,ORG,2015,DATE,
John has been working on machine learning projects for the past five years.,John,PERSON,the past five years,DATE,
The company announced a new AI initiative last month.,AI,GPE,last month,DATE,
It will focus on developing conversational AI systems.,AI,ORG,,,
Maria Rodriguez joined the team as a data scientist.,Maria Rodriguez,PERSON,,,
She has a PhD in Computer Science from MIT.,PhD,WORK_OF_ART,MIT,ORG,
Maria specializes in deep learning algorithms.,Maria,NORP,,,
The team published three papers this year.,this year,DATE,,,
Apple Inc. is developing a new smartphone.,Apple Inc.,ORG,,,
Apple expects the phone to launch next year.,Apple,ORG,next year,DATE,
Dr. Sarah Johnson is the lead researcher on the project.,Sarah Johnson,PERSON,,,
She has twenty years of experience in computer vision.,twenty years,DATE,,,
Dr. Johnson leads a team of fifteen engineers.,Johnson,PERSON,,,
The facility operates twenty-four hours a day.,twenty-four hours,QUANTITY,,,
Microsoft Corporation acquired a startup last week.,Microsoft Corporation,ORG,last week,DATE,
The acquisition will help Microsoft expand its cloud services.,Microsoft,ORG,,,
Its founders will join Microsoft's engineering team.,Microsoft,ORG,,,
Professor Williams teaches machine learning at the university.,Williams,PERSON,,,
Professor Williams is known for his innovative teaching methods.,Williams,PERSON,,,
The conference will take place in San Francisco next month.,San Francisco,GPE,next month,DATE,
